temp_f,log_temp
28.598,3.3533367853106553
21.704,3.077496575356631
17.204,2.84514191492149
18.104,2.896132908331236
20.804000000000002,3.035145275910826
31.496,3.4498605536414364
28.904,3.363979993845339
20.299999999999997,3.0106208860477417
23.0,3.1354942159291497
20.101999999999997,3.0008193126025478
19.598,2.9754275202136267
8.203999999999997,2.1046218402101338
1.2920000000000016,0.25619140536041135
32.504,3.4813631586854257
27.806,3.3252518247473515
26.204,3.26591207086963
23.9,3.173878458937465
28.904,3.363979993845339
17.798000000000002,2.8790860914346705
24.206,3.186600536316412
26.294,3.2693407762744124
20.498,3.0203273204093715
24.404,3.194747053289606
21.596,3.0725081123560405
13.496000000000002,2.602393345243667
15.8,2.760009940032921
20.299999999999997,3.0106208860477417
17.996,2.890149510978926
21.398,3.0632974597164147
23.9,3.173878458937465
25.502,3.23875688046135
29.804,3.394642612691481
26.204,3.26591207086963
22.604,3.118126881767597
23.0,3.1354942159291497
18.896,2.9389502594550065
14.594000000000001,2.6806104853434283
24.8,3.2108436531709366
32.396,3.4780349583867434
29.408,3.3812667461732766
30.596,3.4208692814596198
32.702,3.4874362381123944
32.198,3.4719043388201025
28.796,3.3602364886070566
28.598,3.3533367853106553
28.904,3.363979993845339
26.798000000000002,3.2883272578664164
30.398,3.4143768167742694
36.104,3.5864036625247
32.396,3.4780349583867434
34.304,3.535261965448337
33.098,3.4994728575967513
35.096000000000004,3.558087163863913
34.898,3.5524295209760384
30.308,3.4114117040691267
28.796,3.3602364886070566
29.3,3.3775875160230218
33.602,3.5145855890072104
23.503999999999998,3.1571706194315214
23.198,3.1440660680596846
29.606,3.3879770434913006
30.704,3.4243929392653443
27.104,3.299681318469644
30.398,3.4143768167742694
20.299999999999997,3.0106208860477417
29.804,3.394642612691481
23.305999999999997,3.1487108381510716
16.304,2.791410476480369
9.896,2.292130635090187
17.798000000000002,2.8790860914346705
23.594,3.160992442419651
26.906,3.292349310063351
33.998,3.526301699356578
26.6,3.2809112157876537
24.602,3.2028277404465935
21.704,3.077496575356631
23.9,3.173878458937465
30.992,3.4337291066646403
32.0,3.4657359027997265
36.806,3.605660875363003
40.208,3.6940659808012364
37.4,3.6216707044204863
38.498,3.650606291892444
38.102000000000004,3.6402667741932433
41.198,3.7183897114878772
26.798000000000002,3.2883272578664164
19.003999999999998,2.9446494833246746
32.702,3.4874362381123944
24.692,3.2064793045316495
23.0,3.1354942159291497
30.902,3.4308209067282265
31.604,3.453283694860487
29.102,3.3708069003380867
25.808,3.250684521382853
31.802,3.4595291808902053
34.196,3.532108678163987
30.2,3.407841924380824
46.903999999999996,3.848102959661914
42.998000000000005,3.7611536029839563
45.698,3.8220545332663525
42.007999999999996,3.7378600763355583
35.6,3.572345637857985
36.698,3.6027222576627618
35.6,3.572345637857985
40.496,3.7012032038027685
40.802,3.7087310998165375
32.702,3.4874362381123944
35.798,3.5778920259243083
39.902,3.6864264479528694
42.692,3.7540115490517185
47.498,3.860687604890986
43.808,3.7798164491060384
46.994,3.8500199339864136
46.4,3.8372994592322094
48.2,3.8753590210565547
50.0,3.912023005428146
46.292,3.8349691599858313
35.204,3.5611597125115653
34.106,3.5294733218907224
33.296,3.5054372696512788
37.598,3.6269508574917695
46.903999999999996,3.848102959661914
46.4,3.8372994592322094
44.294,3.7908492276976533
33.296,3.5054372696512788
43.196,3.7657478983705133
50.396,3.919911806848383
54.806,4.003799677011576
44.6,3.7977338590260183
38.3,3.6454498961866
46.508,3.839624340806362
54.5,3.9982007016691985
49.694,3.9058842014687363
47.804,3.8671093180046348
47.696,3.8648475369357156
47.696,3.8648475369357156
44.294,3.7908492276976533
45.698,3.8220545332663525
46.094,3.8306827896882987
43.7,3.7773481021015445
44.798,3.8021634955672745
42.602000000000004,3.7519012005300927
36.302,3.591872836171786
44.906,3.8045714161100093
39.002,3.663612926866049
44.096000000000004,3.7863690753911934
49.298,3.8978835122744244
46.796,3.845797729185355
46.292,3.8349691599858313
49.496,3.9018918582286877
59.396,4.084226884033815
57.596000000000004,4.053453120846024
55.400000000000006,4.014579593753238
63.392,4.14933767051614
51.8,3.9473901492654373
57.397999999999996,4.050009459512907
51.494,3.941465296028104
53.204,3.9741335814910497
57.596000000000004,4.053453120846024
64.094,4.160350755801371
64.4,4.165113633110308
64.4,4.165113633110308
64.4,4.165113633110308
59.0,4.07753744390572
59.0,4.07753744390572
55.400000000000006,4.014579593753238
56.102000000000004,4.027171462517068
56.498000000000005,4.034205239295774
53.096000000000004,3.972101595843624
60.998000000000005,4.110841076750564
55.994,4.0252445421378
58.496,4.068958375831685
57.992000000000004,4.060305069998576
57.2,4.046553898385752
60.8,4.107589788972121
64.79599999999999,4.171243873057891
69.008,4.234222439905487
73.202,4.293222742998387
71.6,4.2710950739666
60.29600000000001,4.099265766541169
57.2,4.046553898385752
62.708,4.1384890312062845
57.902,4.058751926296712
64.598,4.168183450556971
67.1,4.206184043977636
73.598,4.29861785145257
66.09200000000001,4.1910477107887445
72.30199999999999,4.2808517912994075
61.394,4.117312110508492
65.102,4.17595527070882
62.798,4.1399232258332646
67.406,4.210734034727661
71.99600000000001,4.2766105619172325
64.202,4.162034362858657
60.8,4.107589788972121
57.2,4.046553898385752
51.8,3.9473901492654373
57.2,4.046553898385752
58.496,4.068958375831685
